,state,team,cnt,avg,povern
586,Virginia,pistons,55,0.128730769,1.6
587,Wisconsin,rockets,319,0.035238182,1.619047619
588,Maryland,cavaliers,457,-0.00331342,0.571428571
589,Mississippi,sixers,199,-0.367302439,0.28125
590,New Jersey,clippers,55,0.2848,7
591,Georgia,pelicans,175,0.176017687,3.083333333
592,Tennessee,nuggets,52,0.1674875,3
593,Florida,wizards,70,-0.381023529,0.0625
594,Idaho,sixers,163,-0.399192636,0.075
595,Oklahoma,celtics,331,0.352409864,8.8
596,California,hornets,319,0.129259574,1.043478261
597,Illinois,celtics,484,0.265984902,5.538461538
598,Michigan,sixers,514,-0.393258333,0.106382979
599,Minnesota,sixers,277,-0.336939048,0.166666667
600,Missouri,clippers,19,0.207625,3
601,Pennsylvania,hornets,19,0.250722222,2
602,Iowa,pacers,115,0.189830952,2.5
603,New Hampshire,celtics,115,0.43205,10.5
604,Florida,magic,388,-0.066315957,0.382352941
605,Nebraska,celtics,85,0.184420588,3.25
606,New Hampshire,pistons,16,0.19484,4
607,Oklahoma,pistons,49,0.063528571,0.75
608,Florida,knicks,91,0.172375758,3.4
609,Nebraska,rockets,52,0.148838095,1.333333333
610,Ohio,clippers,115,0.387397826,22
611,Pennsylvania,wizards,28,-0.09274,0.666666667
612,California,wizards,175,-0.194065,0.428571429
613,Connecticut,cavaliers,172,0.173257143,2.111111111
614,Virginia,sixers,544,-0.321679646,0.20212766
615,Washington,pistons,58,0.056533333,2
616,Arizona,kings,40,-0.168175,0.2
617,Illinois,bulls,1267,0.129800717,2.050505051
618,Iowa,cavaliers,52,0.089006667,1
619,Minnesota,wizards,7,0.2009,1
620,South Dakota,cavaliers,19,0,0.5
621,District of Columbia,pacers,256,0.316340476,6
622,New York,thunder,1699,0.332775509,4.24
623,North Carolina,bulls,127,0.211307143,3.666666667
624,North Carolina,lakers,493,0.186156393,2.842105263
625,Pennsylvania,grizzlies,22,-0.00283,4
626,Pennsylvania,pelicans,349,0.176121224,1.648648649
627,Washington,pacers,292,0.123037398,2.727272727
628,Kentucky,knicks,19,-0.110566667,0.5
629,North Carolina,timberwolves,145,0.273007692,7.666666667
630,Alabama,lakers,112,-0.109239167,0.666666667
631,California,celtics,1930,0.292987424,5.074074074
632,Maryland,celtics,358,0.24782,3.4
633,New York,blazers,151,-0.353918,0.136363636
634,New York,bulls,361,-0.076675412,0.760869565
635,North Dakota,cavaliers,19,0,0.5
636,Oklahoma,grizzlies,73,0.139773077,1.166666667
637,South Carolina,knicks,22,0.053583333,2
638,Tennessee,jazz,40,-0.285592857,0.4
639,Illinois,pelicans,226,0.240869444,5.5
640,Michigan,pelicans,94,0.198226,2.125
641,Minnesota,jazz,40,-0.329788889,0.125
642,New Jersey,pelicans,133,0.206645175,3.222222222
643,North Carolina,wizards,31,-0.091766667,0.5
644,California,kings,445,-0.073266919,0.571428571
645,Virginia,kings,28,-0.08435,0.5
646,Washington,spurs,160,0.33728366,50
647,Wisconsin,lakers,109,0.015027778,1.25
648,Indiana,cavaliers,547,0.140253788,2.055555556
649,Tennessee,rockets,691,-0.070317961,1.019607843
650,Colorado,bulls,67,0.473355263,18
651,Maryland,rockets,820,0.092415079,2.195652174
652,Ohio,cavaliers,2344,0.127846493,1.615384615
653,Pennsylvania,raptors,67,-0.221788889,0.285714286
654,Texas,pistons,205,0.19509,3.545454545
655,California,lakers,3187,0.171175737,2.351851852
656,Georgia,knicks,160,0.041098333,1.142857143
657,Mississippi,lakers,46,0.056318333,1
658,Missouri,cavaliers,406,0.00646875,0.727272727
659,Georgia,rockets,955,-0.055065183,0.896103896
660,Indiana,sixers,442,-0.280220745,0.220779221
661,Minnesota,pelicans,58,0.2351625,4.333333333
662,North Carolina,hawks,28,0.10256875,1
663,Oklahoma,timberwolves,55,-0.0065625,1
664,Pennsylvania,nuggets,46,-0.0822,0.166666667
665,Utah,celtics,82,0.377286111,8
666,California,heat,331,0.209923984,3.1
667,Colorado,rockets,271,-0.043268217,0.791666667
668,Tennessee,pelicans,40,0.144011905,6
669,Texas,celtics,1660,0.29146974,6.078947368
670,New Mexico,celtics,154,0.354018,11.5
671,Arizona,bulls,157,0.361067857,6
672,Maryland,sixers,841,-0.268216963,0.3203125
673,South Carolina,thunder,250,0.412598,11.5
674,Texas,heat,109,0.259451852,5
675,Connecticut,raptors,7,0.13915,1
676,Kansas,kings,28,-0.04044,0.666666667
677,Maryland,blazers,58,-0.324125,0.111111111
678,Florida,celtics,898,0.301074818,4.708333333
679,Michigan,pacers,529,0.233006713,3.5
680,Utah,nuggets,25,0.21354,1.5
681,Florida,blazers,85,-0.047203571,1
682,Florida,raptors,88,0.195132692,2.25
683,Missouri,lakers,85,0.168938889,8
684,North Carolina,cavaliers,688,0.06125507,0.830769231
685,South Carolina,rockets,352,-0.082143262,0.958333333
686,Washington,jazz,46,-0.119877778,0.8
687,Arizona,cavaliers,751,0.116762234,1
688,Minnesota,celtics,280,0.284759295,3
689,Mississippi,pacers,145,0.147786667,4
690,New Jersey,thunder,454,0.226863636,2.235294118
691,Washington,rockets,481,0.026469213,1.25
692,Illinois,cavaliers,991,0.114607556,1.205882353
693,New Jersey,nuggets,40,-0.157335714,0.4
694,Washington,warriors,94,0.107375758,2.142857143
695,West Virginia,knicks,28,-0.18541,0.25
696,New Jersey,celtics,412,0.186566453,1.689655172
697,New Jersey,kings,34,0.4024,5
698,Oregon,lakers,67,0.174991667,5
699,Utah,jazz,301,0.01285628,1.3
700,West Virginia,bulls,19,-0.008925,1
701,New Jersey,sixers,1945,-0.345036086,0.141025641
702,District of Columbia,sixers,259,-0.399408333,0.11627907
703,Utah,pelicans,19,0.16595,3
704,Missouri,pacers,358,0.275554651,6.166666667
705,Ohio,pacers,862,0.182049025,3.7
706,Oklahoma,bulls,106,0.325645,9
707,Wisconsin,hawks,70,0.280229412,16
708,New Hampshire,pacers,46,-0.023171429,2.5
709,Oklahoma,cavaliers,619,0.108907118,1.133333333
710,Louisiana,lakers,136,0.152711765,3.25
711,Massachusetts,lakers,121,-0.067539583,1
712,Michigan,heat,25,0.0432,2
713,Mississippi,rockets,235,0.121752315,2.272727273
714,New York,clippers,235,0.191498148,5.428571429
715,Kansas,cavaliers,517,0.084336806,0.945945946
716,Kentucky,timberwolves,28,-0.1064,2
717,Alabama,thunder,193,0.100044928,2.285714286
718,District of Columbia,wizards,196,-0.039887222,1
719,Kansas,bulls,52,-0.05211,1
720,New York,magic,97,0.22985,2
721,Michigan,warriors,283,0.377570089,7
722,Virginia,pacers,454,0.112148718,1.708333333
723,West Virginia,rockets,181,0.061120635,1.333333333
724,Arkansas,sixers,244,-0.160060284,0.516129032
725,California,spurs,145,0.227991358,5.75
726,Hawaii,warriors,31,-0.0508,1.333333333
727,Pennsylvania,jazz,67,-0.251495833,0.090909091
728,Colorado,pelicans,46,0.231285714,1.8
729,Illinois,pistons,109,0.313540476,9.5
730,Kentucky,nuggets,37,-0.0296,1
731,Michigan,jazz,88,0.017142857,1.428571429
732,Texas,kings,130,-0.137439583,0.2
733,Georgia,bulls,97,0.147225,3
734,Massachusetts,knicks,52,0.214488333,9
735,New York,bucks,1957,0.341345714,6
736,Kansas,sixers,520,-0.238390167,0.428571429
737,Kentucky,pistons,31,0.115,2
738,North Carolina,knicks,55,0.029461111,1.25
739,Arizona,sixers,457,-0.281570748,0.361111111
740,Maryland,knicks,79,-0.0186,0.666666667
741,Mississippi,warriors,31,0.1125,4
742,Nevada,warriors,79,0.156122549,3.25
743,New York,nuggets,169,0.010742708,1.285714286
